Price,TimeInsulated,Capacity,Cleanbility,Containment,TimeCost,CapacityCost,CleanabilityCost,ContainmentCost,TotalCost,TotalGM,MktShare,EPP,Revenue
$30,1 hrs,12 oz,Easy,Spill Resistant,1.0,1.0,3.0,0.8,5.8,24.2,0.11024943709834942,2.668036377780056,3.3074831129504827
$30,1 hrs,12 oz,Easy,Leak Resistant,1.0,1.0,3.0,1.0,6.0,24.0,0.17747805676226538,4.2594733622943695,5.324341702867962
$30,1 hrs,20 oz,Difficult,Slosh Resistant,1.0,2.6,1.0,0.5,5.1,24.9,0.022889248902209443,0.5699422976650151,0.6866774670662833
$30,1 hrs,20 oz,Difficult,Spill Resistant,1.0,2.6,1.0,0.8,5.3999999999999995,24.6,0.03916768704232952,0.9635251012413063,1.1750306112698856
$30,1 hrs,20 oz,Difficult,Leak Resistant,1.0,2.6,1.0,1.0,5.6,24.4,0.07621636195418753,1.8596792316821757,2.286490858625626
$30,1 hrs,20 oz,Fair,Slosh Resistant,1.0,2.6,2.2,0.5,6.300000000000001,23.7,0.04917870349789554,1.1655352729001243,1.4753611049368662
$30,1 hrs,20 oz,Fair,Spill Resistant,1.0,2.6,2.2,0.8,6.6000000000000005,23.4,0.08172833271568015,1.9124429855469156,2.4518499814704047
$30,1 hrs,20 oz,Fair,Leak Resistant,1.0,2.6,2.2,1.0,6.800000000000001,23.2,0.14649097706136172,3.3985906678235915,4.394729311840852
$30,1 hrs,20 oz,Easy,Slosh Resistant,1.0,2.6,3.0,0.5,7.1,22.9,0.07991759678711813,1.830112966425005,2.3975279036135437
$30,1 hrs,20 oz,Easy,Spill Resistant,1.0,2.6,3.0,0.8,7.3999999999999995,22.6,0.12611772640187882,2.8502606166824616,3.7835317920563645
$30,1 hrs,20 oz,Easy,Leak Resistant,1.0,2.6,3.0,1.0,7.6,22.4,0.20967460331487595,4.696711114253221,6.290238099446278
$30,1 hrs,32 0z,Difficult,Slosh Resistant,1.0,2.8,1.0,0.5,5.3,24.7,0.01942812485137274,0.4798746838289067,0.5828437455411822
$30,1 hrs,32 0z,Difficult,Spill Resistant,1.0,2.8,1.0,0.8,5.6,24.4,0.0326269003735713,0.7960963691151397,0.978807011207139
