State,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8,29,29,29,29,29,29,29,29,29.06,30,30,30,30,30,30,30,30,30,30,30,29.95,29,29,29.53,29.63,30.85,30,30,30,30,30,30,30,30,30,30,30.42,32,32,31.63,30.58,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30.08,31.43,31.52,31,30.79,31,31,30.58,30,30.52,31.17,31.52,32.04,33,33,32.8,33.23,33.91,33.78,34.48,34.06,36,35.63,33.6,33.35,33.04,32.95,32.89,33,32.71,33,33.21,33.6,35.17,36,36.06,36,36,36,36,36,36.89,37.4,38.26,38.18,38,38,38.14,38.05,38.11,38.48,39.23,40.05,41.05,42.05,42.6,43.02,42.71,43,43.02,43,42.98,43.47,44.56,44.64,44.56,44.85,47.09,48.18,48.69,49.15,48.14,49.22,49.39,49.5,50.05,50.14,50.19,50.5,48.1,46.68,46.75
Gujarat,12.6,13,12.85,12.5,13,12.91,12.83,14,14,14,14.45,15.38,16.65,16,14.65,13.54,14.18,14.41,14.84,14.98,15.17,15.5,15.45,16.18,16.5,15.82,14.61,12.75,13,13.39,13.12,13,13.41,13.48,13.68,14.88,15.19,15,15.1,15.15,15.91,16.12,15.68,17.21,17.05,16.92,16.59,17,17,17.43,17.44,18.5,18.49,19.13,19.41,18.72,18.73,18.5,18.63,19.5,20.5,20.5,19.65,18.59,18.82,19.1,20,20,20,20.07,20.56,19.5,20.24,20.5,19.83,19.39,20.37,20.56,20.75,20.75,20.59,20.49,20.38,20.81,20.5,20.86,20.79,20.75,20.71,20.95,21.25,21.25,21.18,21.07,21.81,23.21,23.07,23,22.76,22.52,22,21.82,21.75,21.61,21.63,21.49,21.26,20.94,20.75,20.55,20.5,20.5,19.95,20,20.18,21.22,20.65,20.25,20.28,20.55,20.75,20.75,20.75,20.75,20.75,20.75,20.8,21,21.39,22.88,22.84,23.01,23.01,23.73,24.7,24.75,24.75,24.75,24.51,24.5,24.38,24.25,24.08,24.01,24.93,25.16,24.76,25.53,25.63,25.64,25.58,25.53,26.51,27.65,28.15,28.58,28.77,28.99,28.49,28.55,29.53,30.12,30.64,31.48,30.87,30.96,31.34,31.51,31.99,31.6,31.81,31.51,32.98,32.94,33.83,32.77,32.9,33.18,34.64,35.5,35.74,35.65,36.2,36.19,36.17,37.99,38.85,34.5,33.59,34.01,34.73,35.07,34.47,33.8,34.21,33.93
Haryana,,,,,,,,,,,,,,,,,,,,,12.34,12.57,12.35,12.64,12.87,13.32,13.86,13.19,12.4,12,12.07,12.5,12.89,12.85,13,12.86,13.15,12.67,13.67,13.41,13.09,12.81,13.05,13.3,14.08,14.6,14.97,15.47,15.89,15.5,16.06,16.15,15.36,15.97,16.55,16.5,16.5,16.5,16.21,16.79,17.65,17.5,17.55,18.15,17.84,17.1,17.23,17.3,17.61,17.88,17.99,18,18.19,17.75,17.64,17.5,17.5,17.44,17.5,17.59,17.54,17.53,17.75,17.75,17.75,17.74,17.77,17.75,17.75,17.75,17.97,18.26,18.5,18.5,20.31,22.73,22.79,22,22.11,22.13,20.91,20.52,20.23,20.46,20.5,20.68,20.87,21.01,20.9,20.56,20.36,19.65,19.5,19.49,19.5,19.5,19.5,19.5,19.5,19.98,20.02,19.75,19.75,19.75,19.75,19.75,19.75,19.75,20.11,20.25,20.25,20.7,20.75,20.75,20.8,23.76,23.07,22.64,22.08,22.3,22.81,22.21,22.28,22.32,22.33,21.98,21.78,21.8,21.77,21.76,21.75,21.59,21.8,21.81,21.8,21.81,22.05,22.06,22.16,23.24,23.54,24.13,24.15,24.39,24.52,24.17,24.39,24.82,25.26,25.77,25.83,25.62,25.39,25.54,25.96,25.88,26.34,26.58,27.44,28.14,28.84,28.83,29.13,29.64,29.11,29.24,29.1,28.58,29.13,29.49,29.36,29.21,28.94,27.78,27.87,27.36
Himachal Pradesh,,,,,,,,,,,,,,,15,15,15,15.68,16,16,15.52,15.7,17,15.45,15,15,,,,,,13,13,12.7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,20,,,,,,,,19,23,,25.42,25.5,25.84,25.55,26.04,26,26.8,27.03,27,27,,21.26,23.16,24.6,24.52,24.65,21.28,21,21,21,21,21,21,21,21,21,21,21,21,21,21.97,22,22,22,22,22.43,24,24.07,25,25,27.71,29.1,30
Jammu and Kashmir,12,12,12,12,12,11.23,11,11,11.6,14,14,14.57,15,14.2,13.8,11.89,11.75,14.19,14.68,14.14,14.5,14.7,14,14.27,16.35,17.5,17.43,16.64,16.13,16.5,16.86,16.95,16.5,14.22,16.52,15.84,15.91,16.28,16.91,16.6,16.71,16.55,17,16.58,17.03,17.32,17.23,18.44,18.49,18.45,18.06,18.61,18.86,18.88,18.84,18.89,20.05,19.62,18.21,18.5,18.68,18.4,18.41,18.45,18.27,18.36,18,18.22,17.36,17.5,18.8,18.89,18.97,18.84,18.73,18.88,18.1,18.38,18.2,18.25,18.15,18.14,18.42,18.83,18.97,18.83,18.92,18.95,18.88,18.91,18.17,18,18.63,19,21.21,21.55,21.59,21.22,21.04,21.09,20.54,20,20,20,20.27,20.09,20.38,21.07,21.79,20.49,20.52,20.5,20.89,20.93,21,21.11,21.71,22,22,22,22,22.03,22.09,22,21.76,21.07,21.94,23.83,24,25.88,27.2,27.18,27.11,26.31,26.93,,,27,26.5,26.59,26.5,25.64,25.72,25.62,25.74,24.84,25.45,25.72,22.65,24.84,25.24,25.14,25.79,26.33,26.79,27.83,27.62,28.44,28.94,29.26,28.89,29.75,29.28,28.36,28.42,28.65,29.41,29.39,29.87,29.38,28.98,29.57,29.38,29.54,30.44,30.63,31.78,32.36,34,36.21,35.46,34.07,33.05,32.32,31.53,31.67,31.28,31.95,33.36,32.69,33.58,33.77,34.55,34.78,35.11,35.38
Jharkhand,11,12.5,13,13,13,13,13,13,13,13,13,13.57,15,14.35,14,,,13,13,,,13.29,13,13,13,13.21,17.12,17.78,18,17.06,16.67,17.05,16.73,16,16.29,16.8,16,16,17,17.22,18,16.63,17,18,19.33,20,20,20.54,21,20.36,20,21.56,19.29,16.79,18.43,21.37,22.89,22.06,21.14,22,22,21.76,21.77,21,20.05,19.11,20,21.22,20.6,20.46,20.39,20,21.07,22,22,22,22,20.46,20,20.76,20.5,21,21,21.06,22,22,22,22,22.55,23.65,24,24,24,24,24.29,26,26,26,24.33,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24.21,25.08,26,26,26.85,28,28,28,28,28,28,26.17,26,27.04,28,28,29.26,30.39,30,30,30,30,32,30.74,28,28,28,28,28,29.7,28.96,27.64,26.76,23.21,23.68,23.99,22.78,22.81,23.13,23.15,24.06,24.6,24.95,25.74,26.52,26.07,26.61,26.61,26.23,26.65,26.9,27.08,27.77,28.42,29.93,30.91,31.95,31.91,31.09,30.27,30.03,30.47,30.66,31.43,31.4,31.54,31.33,31.44,31.54,31.36,31.39,31.49,31.63,31.43,30.61,30.94,31.29,31.96,32.28,32.74,33,32.9,32.98
Karnataka,16,16,17,17,17,17,17,17.4,18.4,17.1,18.65,20.52,22.05,19.45,20.19,18.45,18.37,19.36,19.14,19,20.4,20.1,20.57,21.49,23.18,22.97,22.5,22.5,22.68,21.77,21.38,21.5,21.59,22.32,21.61,21.13,21,21.74,21.82,21.3,21.87,22,21.34,21.69,23.09,24.3,24.4,23.92,24.41,25.75,25.47,25.06,24.94,25.35,25.88,26.5,26.5,26.38,26.84,28.31,28.11,28,27.96,27.79,27.86,28.21,28.9,29,29.03,29,29.03,28.57,29,29.15,29.28,28.29,28.4,28.2,28.02,28.06,29.74,30.18,30.52,31.15,31.49,31.22,30.43,30.47,30.36,30.21,29.96,29.63,29.75,30.07,32.33,33.22,33.39,33.5,33.26,32.97,32.94,32.46,32.27,32.16,31.78,32.03,32.25,31.72,31.75,31.89,31.21,31.42,31.69,31.44,31.54,31.25,31.78,32.59,32.52,33.21,33.3,33.45,33.37,33.44,33.51,33.31,33.38,33.99,33.83,33.71,33.74,33.96,33.75,33.78,34.03,34.51,34.18,33.99,34.58,34.29,33.85,34.02,34.07,34.13,34.77,35.59,33.76,33.42,32.88,33.16,32.99,33.53,33.77,33.78,34.37,33.49,33.47,34.25,34.58,35.61,35.74,34.97,35.66,36.43,37.04,36.55,38.62,39.7,40.28,41.21,40.98,40.67,40.69,41.34,41.54,41.69,42.16,42.79,43.7,44.1,43.81,43.91,43.75,43.77,43.66,43.68,43.22,42.01,41.74,42.18,42.69,42.73,42.68,42.24,42.08,41.95
Kerala,20.7,22,22,22,22,22,22,22,22,22,22.3,25.29,25,23,21.95,21,21,21,20.77,20.86,20,20.6,20.9,21.41,21.88,22.24,22.59,22.69,23.07,23.05,22.25,21.38,20.5,19.97,19.63,20.05,19.57,19.53,19.2,18.92,18.62,18.9,20.88,21.04,21.82,23.53,25.28,26.06,26.94,27.63,26.67,26.75,26.67,26.73,26.14,25.83,26.35,26.86,27.04,27.57,28.02,28.34,28.35,28.67,28.22,28.52,29,29,29.02,29.08,29.76,29.62,30.41,30.73,30.94,30.89,31.19,31.47,32.17,31.83,31.83,32.11,32.37,32.35,32.07,32,31.94,30.93,32.24,32.48,32.57,32.16,31.38,31.78,32,31.42,31.44,31.98,33.03,33.02,33.94,34.24,34.57,34.23,35.75,35.17,35.51,35.15,35.47,35.31,35.53,35.48,35.38,35.34,34.94,36.96,35.53,34.69,34.84,35.42,35.98,35.08,35.85,35.48,35.88,34.86,34.96,33.69,34.87,34.84,34.88,35.31,35.44,36.14,36.12,35.67,35.93,35.78,35.56,34.22,34.5,34.99,34.62,34.4,34.64,35.02,35.29,35.55,35.84,35.99,35.59,35.38,35.55,36.15,37.18,37.36,37.91,37.97,37.94,37.88,38.72,39.77,39.57,40.33,41.56,41.71,42.14,43.1,43.48,43.91,44.29,44.35,44.08,43.67,43.57,43.62,43.97,44.34,45.02,45.31,45.45,45.47,45.13,45,45.18,44.84,45.16,45.74,45.81,46.31,47.1,46.88,47.37,47.92,48.24,48
Ladakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshadweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,11.05,12,12,12,12,12.32,13,13,13,13,13.55,15,15.05,16,13.59,11.65,11,11.09,12,12.59,13.33,13.5,13.5,14.95,15.5,15.5,15.23,14.58,14.5,13.8,13.49,13.5,13.5,13.21,13.48,13.51,13.71,14,14,14,14,14.36,14.86,15.42,15.5,15.46,14.96,14.74,14.43,14.73,15.15,15.65,16.13,16.35,16.14,16.1,15.97,16.57,17.07,16.77,16.96,16.79,17.06,16.34,16.61,16.77,17.37,17.47,17.53,17.61,17.33,17.45,18.09,17.97,17.98,17.22,16.89,17.28,17.39,17.79,17.04,16.8,16.74,16.87,17.33,17.27,17.24,17.25,17.59,17.58,17.62,17.59,17.59,17.61,17.59,17.69,17.93,17.95,18.06,18.14,18.19,18.44,18.48,18.78,18.72,18.44,18.43,18.61,18.83,18.83,18.76,18.82,18.99,19.08,19.41,20.06,20.17,20.66,20.63,20.69,20.87,21.22,21.91,21.96,22.01,21.87,21.62,21.59,21.81,22.13,22.39,22.67,22.81,22.82,23.04,23.24,23.17,23.07,23,22.96,22.96,21.76,21.59,21.67,22.33,23.15,23.4,23.85,23.74,22.38,21.87,21.91,22.07,22.51,23.26,22.91,23.11,23.49,24.9,25.02,25.55,26.61,26.2,25.95,26.28,26.53,27.42,29.08,29.53,29.02,26.94,25.83,25.71,26.33,26.78,27.36,27.62,27.89,28.43,28.73,28.96,28.8,28.45,28.3,28.66,28.98,29.49,28.76,28.82,29.49,29.96,30.15,30.38,30.67,30.05,29.05
