State,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25
Maharashtra,16,15.85,15.7,15.33,16,16,17,17,17.6,17.67,18.95,20.1,20.05,19.95,19.26,18.9,18.89,18.95,18.64,18.95,18.8,19.1,19.45,19.2,19.34,19.66,19.27,19.19,19,19.11,19.55,20.32,20.73,20.09,20.24,20.46,20.5,20,20,20.29,21.14,20.88,20.79,22.05,22.61,23.82,24,25.63,26.5,26.54,26.5,25.68,25.82,26,26.37,26.42,26.03,26.4,26,26.57,25.74,25.71,25.15,24.5,24.33,23.77,23.07,23.46,24.57,25.5,25.19,24.8,24.4,25.5,25.5,25.05,25.89,26.26,26.11,26.93,27,27,26.81,26.5,27.57,28.85,29.16,29.13,28.7,29.67,29.2,28.43,28.09,27.97,29.13,29.12,28.42,28.38,27.52,26.97,26.83,26.23,24.77,25.19,25.51,25.48,25.71,26.16,25.81,26.33,26.42,25.73,26.67,27.34,27.1,27.3,27.46,27.6,28.14,29.12,28.92,29.7,29.57,28.95,28.96,30.42,31.9,32.02,32.14,32.19,31.98,32.37,33.04,34.13,33.45,34.33,34.25,35.46,35.25,34.23,33.33,33.89,34.77,35.8,33.95,30.44,30.35,32.23,34.37,33.32,33.92,33.39,31.12,31.3,32.12,32.35,31.73,32.31,32.84,33.82,33.94,33.9,33.06,34.15,33.78,33.81,35.23,36.64,37.92,38.65,37.08,36.9,36.57,36.8,36.95,37.84,38.22,38.66,39.84,40.22,40.39,40.09,39.27,38.43,38.73,38.63,39.32,39.04,38.8,39.35,39.94,40.41,41.02,41.03,39.54,38.03
Manipur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,20,20,,,,30,,,,,,,,,,39.41,38.76,40,40,43.5,43.67,44.1,45,45.67,48.88,49,49,49.25,48.68,49
Meghalaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25.56,25.5,25,25,25,25,25,24.82,25,25,25,25.67,25.86,26,26,26,26,25.56,25.42,26,25.45,25,25.5,26.22,27,27,27,27,27,27,27,27,27,27,27.06,27.06,29.16,30,30,30,29.55,28.28,28.74,28,28,28,28.21,29,29,29,29,29,29,28.5,27,27.19,28.41,30.74,32.38,33.79,34,33.06,32.18,32.53,32.51,32.45,32,39.39,42.05,41.79,37.31,37.73,38.72,36.84,33.47,35.08,35.12,34.15,35.44,34.15,33.56,33,32.59,31.73,31.36,31.13,34.6,37.03,35.6,33.25,30.35,29.33,30.09,29.69,29.98,30.9,31.63,31.77,31.15,31.09,31.02,31.26,31.98,32.34,32.35,34.75,36.98,37.23,38.11,38.83,39.08,40.15,39.86,38.55,38.43,38.05,38.38,37.95,38.52,38.26,38.46,38.72,38.55,38.89,38.56,38.58,38.45,38.21,38.63,38.99,39.68,41.27,43.28,44.3,44.26,43.83,43.42,43.38
Mizoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,37.5,40,40,40,40,,,40,40,40,,,40,40,40,40,40,40,40,40,40,40,39.81,40.06,40.5,40.67,40.61,40.53,40.53,40.39,41.86,42.08,41.43,41.54,41.78,41.46,41.52,41.47,41.26,41.41,41.74,42.18,42.48,42.4,42.08,42.14,42.03,42.04,42.15,41.72,41.55
Nagaland,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15.4,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.75,26.22,27.33,26.73,29.41,35,36.07,40,45,,,,,45,45,40,40,40,40,40,40,40,40,40,40.93,42.95,45,38.4,28,28,28,25.82,25,26.35,28.23,28,28,28,28,28,28,56.24,60,60,60,60,60,60,60,37.78,30,30,30,30,32,34,,34,34,34,34,34,34,34,34,34.54,35,34.5,35,34.91,35,38.61,36.22,35,35.43,39.64,38.6,37.74,37.72,38.31,38.6,41.28,39,38.68,39.88,40.39,42.22,40.11,40.45,41.78,41.94,42.35,42.61,42.63,42.68,42.74,42.91,42.91,42.92,43.09,42.73,42.26,43,42.96,42.87,42.79,43.04,43.41
Odisha,,,,,,13,13,13.4,14,14,14.95,15.76,17,16.15,15.25,14,,,15,14.73,14,14,14.13,14.52,15,15,15.09,15.33,15.22,14.71,14.89,15.3,15,15.23,15.24,15.33,15.4,15.11,14.67,14.67,14.67,14.66,14.84,16.37,17.81,18,17.48,17,17,,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,22.83,22.81,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,30.89,30.89,32.41,32.44,32.48,32.08,32.64,32.96,32.91,32.81,33.09,32.94,33.03,33.49,33.78,33.8,33.85,33.8,33.17,33.24,33.68,33.8,33.79,33.88,33.43,32.42,32.73,32.8,32.92,32.88,32.76,32.59,32.58,32.67,33.17,33.2,33.46,33.6,33.14,33.59,33.7,33.63,33.55,34.12,34.49,34.32,34.37,34.5,34.76,35.77,37.54,36.98,37.06,36.8,36.8,37.23,37.54,37.79,37.83,37.7,37.33,37.41,37.26,36.88,37.04,37.09,37.22,37.18,36.96,37.45,37.48,38.48,39.17,39.42,38.83,38.64,38.54
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,24,25.79,26,26.1,27.45,28,28.9,30,28.9,28,28,29.83,30,30,30,29.5,28.61,27,27,27,27,27,27,30.36,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32.97,34,34,34,34,34,34.1,34.84,34,34,34,34,34,34,34,34,34,34.81,35,35,35,35,35,35,35,35.73,37,37,37,37,37,37.94,38,38,38,38,38,41.29,42,42,38.47,36.97,36,36,35.03,34,34,34.52,34,36.74,36.42,37.94,33.73,37.88,40,40,37.76,36.18,37.83,37.73,31.57,30,30.73,36.37,38,41.42,39.93,39.19,40,40,40.34,40.54,39.48,39.65,39.45,41.06,39.04,39.5,40,38.96,39,39.25,39.48,41.52,40.74,40,41,41.92,41,43.32,45,46.38,48,48.07,48.08,48,48,48.13,53.28,52.91,52
Punjab,11.5,11.5,11.5,11.5,11.28,11,11,11,11.5,11.57,12,12.57,13.72,13.6,13,,12.44,12.5,13,12.75,12.46,12.67,13.56,12.59,13,13,,,12.46,14.22,,,12.67,12.6,12.75,13,13.59,13.73,13.77,13.72,13.67,13.9,13.62,14.24,14.52,14.73,15.07,15.91,15.91,16.53,16.97,17.13,15.95,15.95,16.44,16.89,17.07,16.82,16.59,17.25,17.48,17.62,17.24,17.95,17.04,16.91,16.92,17.28,17.37,17.45,17.98,18,18,18,18.02,17.86,17.69,17.68,17.67,17.67,17.66,17.67,17.67,17.96,18,18.04,18.37,18.58,18.72,18.72,19,19.06,19.27,19.18,19.61,19.77,20.01,20.07,19.88,19.85,19.43,19.33,19,19,19,19.15,19,19,19.54,19.04,19.44,19.48,19.33,19.72,19.66,19.35,19.49,19.67,19.65,19.72,20.4,20.8,21.21,21.36,21.22,20.67,20.75,21.1,21.67,21.77,22,22.22,22.45,22.65,22.34,22.22,22,21.72,21.59,21.86,21.91,21.81,21.71,20.96,21.64,21.32,21.48,21.46,21.42,21.48,21.5,21.29,21,21,21,21.22,22.19,21.65,21.02,21.17,21.89,22.15,22.42,22.73,23.36,23.69,23.95,24.38,26.04,26.67,24.65,24.32,24.15,24.62,24.55,24.18,24.34,24.63,25.54,25.34,25.01,24.8,24.94,25.04,24.93,25.2,25.78,26.04,26.27,26.63,28.14,29.91,30.64,30.89,30.47,30.05
Rajasthan,12,12,12,12,12,12,12,12,12.55,13,13,13,13.65,14.75,13.88,13.6,14,14,14,14,14,14,14.34,14.55,14.68,15,14.59,13.17,13,13,13.05,13,13.29,13.17,13.77,13.72,13.67,13.11,13.59,14.15,14.22,13.97,14.06,15.45,16.57,16.49,16.4,16.42,16.51,17.42,17.03,16.03,16.21,16.62,16.81,17.24,17.26,17.29,16.58,16.89,17.77,18.18,18.28,18.1,18.09,17.19,17.5,17.67,17.57,17.14,17.27,17.43,17.62,17.69,17.26,16.9,16.98,16.67,16.87,17.22,17.3,17.9,18.13,18.29,18.47,19.27,19.31,17.85,18.43,19.32,19.73,19.4,19.39,19.79,21.25,21.11,20.05,20.02,19.64,18.71,18.39,18.28,19.02,18.52,18.19,18.45,18.98,18.2,18.25,18.53,18.9,18.84,19.04,19.18,19.23,20.65,21.19,20.74,21.27,21.41,21.91,21.77,22.58,22.37,22.51,23.05,23.36,23.26,23.67,23.77,23.25,23.58,23.96,23.59,23.47,22.78,22.4,21.9,22.93,23,22.62,22.62,22.85,22.24,22.95,22.15,22.18,22.62,24.56,25.22,24.97,25.26,25.45,26.01,26.61,25.83,26.82,26.79,26.96,27.49,28.97,29.47,29.65,29.87,30.09,30.25,30.7,30.34,30.49,30.77,29.85,29.22,29.12,29.41,29.61,29.61,29.49,29.36,29.3,29.51,29.33,29.26,29.04,29.1,29.07,29.26,29.46,28.98,28.89,29.31,29.52,29.54,29.73,30.05,30.23,30.07
Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22,,,25,20,19,19.53,21,21,21,21,21.26,21,21.75,24.58,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,27.82,28,28,28.6,30,30,30,30,30,30,29.29,27,27,27,27,27.61,28,28,28,27.29,25,,25,25,25,25,25,25,25,25,25,25,25,28.45,30,30,30,34.76,38,36.92,35.36,35.54,36.32,36.28,36.31,36.1,36.57,35.7,35.71,35.71,35.72,35.63,35.59,35.58,35.5,35.56,35.54,35.51,35.1,36.67,37.67,37.57,38.86,38.66,38.56,38.42,37.89,38.19,38.17
Tamil Nadu,18,18,18,18,18,18,18.3,19,19,19,21,21,21.35,22,21.37,21.38,20.77,21,21.41,21.5,21.02,20.88,21.47,22.02,22.33,22.33,22.33,21.67,21.67,21.41,21.33,21.45,21.36,21.69,21.5,21.67,21.79,21.67,21.98,22,22,22,22.29,23.42,23.78,24.83,26.3,27.05,26.85,27.12,27,26.62,26.91,27.25,27.04,27.33,27.33,27.55,28.44,30,30.17,30.32,30.11,30.35,30.36,30.34,30.33,30.32,30.34,30.25,30.61,30.6,30.6,30.44,30.18,30,30.09,30.4,30.4,30.33,30.38,30.49,31.17,31.15,31.21,30.98,30.24,30.06,30.14,30.29,30.44,30.59,30.53,30.66,30.46,30.7,31.6,32.32,33.02,32.99,32.37,32.11,31.57,31,30.56,30.71,31.04,31.01,30.81,31.01,30.44,30.3,30.26,30.39,30.74,32.3,32.87,32.87,33.5,33.69,33.32,33.73,34.01,33.52,35.34,35.73,34.52,34.18,34.56,35.33,35.17,35.48,35.87,36.2,35.91,36.09,36.56,36.22,35.92,36.25,35.59,35.54,35.57,35.52,36.1,35.81,35.87,35.31,35.91,35.74,35.8,35.85,36.23,36.57,37.18,36.8,36.96,37.45,37.77,37.58,38.16,38.46,38.46,38.58,38.95,39.27,39.74,40.09,41,41.93,42.26,42.43,42.54,42.7,43.02,43.52,44.05,44.24,44.45,44.64,44.93,45.42,45.34,45.46,45.45,45.36,45.61,45.2,45.68,45.76,45.88,46.29,46.51,46.66,47,47.39
Telangana,14,14,14,14,14,14,14.91,17,17,17,17,17,17,17.25,18.1,19,19,19,19.45,20.55,20.19,20.25,20.55,22.14,24.05,24,19.77,19.83,19.95,20.82,20.52,20.3,20.09,22.95,24,23.1,23.05,23,22.3,23.68,23,23,23,23.25,24.58,25,26.95,28.2,28.35,29,28.74,26.56,26,27.9,28,28,28,28,28,28,28,28,28,28,28,28.81,29,29,29,29,29,29,29,29,29,29,29,26.83,26.67,26.67,26.67,26.67,26.71,27.18,27.2,27.19,27.19,27.19,27.19,27.19,27.2,27.19,27.19,27.2,26.87,26.85,26.85,26.85,26.85,26.83,26.9,27.09,27.03,26.91,26.85,26.85,26.85,26.86,26.85,26.85,27.63,27.85,27.85,27.85,27.82,27.67,27.77,27.78,27.67,27.67,27.74,27.83,28.04,28.5,28.51,28.5,28.5,30.09,29.91,30.31,30.05,30.04,30.05,29.87,29.23,30.87,31.01,32,31.99,31.52,31.74,32,32.51,32.93,34.07,34.75,32,31.16,31.48,31.22,32.23,32.19,31.43,32.02,32.28,31.31,31.52,32.97,33.58,33.67,34.14,33.95,34.08,33.97,34.33,34.51,35.17,36.05,36.4,36.55,36.82,37.17,37.38,37.59,38.51,38.35,38.52,39.26,40.06,40.95,41.44,41.67,41.5,42.01,42.27,42.23,42.12,40.46,40.41,40.45,40.51,40.44,40.21,39.94,39.81,39.61
Tripura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uttar Pradesh,12,12,12,12.22,11.25,11,11,11,11,11,12.85,14,13.35,13,13,11.66,12,12.8,12.8,12.98,12.91,13,13.1,13.19,13.76,14.28,14.15,13.28,12.39,12.52,12.39,12.5,12.35,12.7,12.54,12.11,11.52,11.68,11.72,11.93,12.2,12.24,12.33,13.71,15.17,15.16,15.1,15.04,15.25,15.63,16.29,15.32,14.88,15.74,15.74,15.76,15.71,15.82,16.41,16.69,17,17.16,17.33,15.89,15.53,16.04,16.17,16.15,16.08,16.43,16.71,16.75,17.24,17.41,17.32,16.84,16.07,16.01,16.19,16.24,16.49,16.98,17.66,17.76,17.88,18.35,18.69,17.9,18.04,18.23,18.66,18.64,18.85,18.94,20,20.39,20.66,20.68,19.51,18.18,18.16,18.01,17.95,17.78,17.9,18.28,18.28,18.25,18.11,18.27,18.67,19.02,19.13,18.92,18.78,19.51,19.71,19.94,20.34,20.55,20.84,21.23,21.22,20.4,19.85,20.28,20.77,21.16,21.16,21.56,21.86,22.07,23.01,23.42,23.34,22.63,21.16,21.31,21.26,21.02,20.8,20.39,20.26,20.54,22.14,22.13,22.45,22.06,21.87,21.84,21.91,21.81,21.68,21.81,22.21,22.87,22.92,23.06,23.31,23.44,23.09,23.13,23.73,25.19,25.81,25.94,26.6,27.83,28.78,27.81,25.65,24.45,24.38,25.04,25.37,25.61,25.7,25.92,26.31,26.56,26.77,26.94,26.78,26.22,25.87,26.18,26.75,26.92,27.41,27.96,28.54,28.89,29.3,29.53,29.33,28.31
Uttarakhand,12,13,13,12.83,12,12,12,12,12,12.9,14.8,15,15,15,14,12.33,12.43,12.95,13.59,13.32,13,13,13,13.55,14.65,15,14.79,14,14,14,14,14,14,13.57,13,13,13,13,13,13,13.75,14,14,14.65,16.06,16.67,16,17,16.33,16.65,17,17.12,15.29,16.05,16,16,15.63,16,16.59,16.37,16,16,16,16,16,16,16,16,16,16,16,16,17.26,19,18.15,18,18,18.09,17.91,17.5,18.51,19.38,20,20.61,20.75,20.74,20.5,20.67,21,21,21,21,21,21,21,21.61,22,22,22,22,22,21.8,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,20.93,21,21.5,21.5,21.5,21.5,22.42,22.6,23.81,23.88,23.75,24.14,23.65,24.58,25.4,25.5,24.93,25.73,23.73,22.93,22.35,22.19,21.57,22.12,22.77,23.21,23.51,23.48,22.89,21.8,21.07,21.73,21.56,21.01,20.99,21.13,21.04,21.67,21.84,21.77,23,24.01,23.62,24.02,25.06,26.35,26.83,27.2,27.72,28.03,28.4,28.71,27.29,26.56,25.8,25.75,25.94,25.81,25.57,25.53,26.84,27.27,28.03,27.37,27.08,26.99,26.4,26.56,26.73,27.52,27.91,27.8,27.79,27.99,29.39,28.95,29.72,30.45
West Bengal,,,,,,,,,,,,,,,,,,,,,12.5,12.95,13.95,14,14.32,15.53,15.77,13.89,13.19,13,13,13,13.76,14,14.72,15.18,14.79,14,14,14,14.33,15,14.95,16.27,17,16.15,16.43,18,18,18.13,18.21,16.06,17,17.95,18,18,18,18,18.88,19,19,19,19,19,19,18.35,18,18,18.1,19,19,19.53,20,20,19.94,19,17.4,17,17,17,18.69,20,22,21.03,20.74,20.26,18.37,18,18,17.04,16.8,17.07,17.03,17.03,17.13,17.59,17.84,17.77,17.59,17.51,17.25,17.11,17.76,18.05,18.03,18.02,18.29,18.32,18.05,17.96,17.47,17.52,17.21,17.7,17.54,17.51,17.48,16.7,17.16,17.55,18.7,19.33,19.45,19.44,19.72,19.61,20.35,21.17,21.27,21.05,20.94,20.21,20.79,21.06,20.76,21.2,21.01,20.99,20.93,21.02,20.84,20.57,19.9,21.48,21.78,20.98,22.01,21.93,21.25,21.44,22.14,22.52,23,23.33,24.21,23,23.16,23.12,22.85,23.14,22.61,23.18,22.69,22.06,24.72,25.19,25.52,25.98,25.94,26.73,26.55,27.77,28.59,29.08,29.82,29.46,29.24,28.74,29.36,29.54,29.57,29.46,29.99,30.15,29.96,29.92,30.3,29.78,29.3,29.98,30.8,30.99,30.74,30.9,30.85,30.44
